periodo,var_mensual,year,month,factor,indice_bruto,IPC
2020-05-01,-0.049731996429,2020,5,0.99950268003571,216.54832104504683,104.29850942768905
2020-06-01,-0.071892054743,2020,6,0.99928107945257,216.39264000753604,104.22352708619516
2020-07-01,0.1003309349158,2020,7,1.001003309349158,216.60974876634458,104.32809552532296
2020-08-01,0.132096402387,2020,8,1.00132096402387,216.89588245168446,104.46590918619079
2020-09-01,0.6352299096932,2020,9,1.006352299096932,218.27366996991054,105.1295078867744
2020-10-01,0.68673974499,2020,10,1.0068673974499,219.77264201444225,105.85147400114529
2020-11-01,-0.137234070669,2020,11,0.99862765929331,219.47103907158905,105.7062097145104
2020-12-01,0.3378690215416,2020,12,1.003378690215416,220.2125637238674,106.06335825098152
2021-01-01,0.7022733809454,2021,1,1.007022733809454,221.75905794039755,106.80821298291492
2021-02-01,0.1853016416152,2021,2,1.001853016416152,222.16998111519152,107.00613035495212
2021-03-01,0.3753514825115,2021,3,1.003753514825115,223.00389943300294,107.40777945161764
2021-04-01,0.3769703344412,2021,4,1.003769703344412,223.84455797851243,107.81267491703225
2021-05-01,0.2686571422356,2021,5,1.002686571422356,224.44593237102742,108.10232136843211
2021-06-01,0.0797287566046,2021,6,1.000797287566046,224.62488032215643,108.18851000511987
2021-07-01,0.809000081465,2021,7,1.00809000081465,226.4420957869534,109.06375513919708
2021-08-01,0.3593120842985,2021,8,1.003593120842985,227.25572960105467,109.45563439100195
2021-09-01,1.1778774877635,2021,9,1.011778774877635,229.93252367967818,110.74488766758228
2021-10-01,1.3410165000978,2021,10,1.013410165000978,233.01595676131393,112.22999488421932
2021-11-01,0.4987771919042,2021,11,1.004987771919042,234.17818720713672,112.78977250117705
2021-12-01,0.781402163615,2021,12,1.00781402163615,236.00806062868767,113.67111422383769
2022-01-01,1.2011129330855,2022,1,1.012011129330855,238.84278396802307,115.03643267796258
2022-02-01,0.2893338172826,2022,2,1.002893338172826,239.5338369121818,115.36927197989546
2022-03-01,1.8545070625409,2022,3,1.018545070625409,243.97600883489346,117.50880327676467
2022-04-01,1.3982786190585,2022,4,1.013982786190585,247.38747320206406,119.15190374849519
2022-05-01,1.1988545864106,2022,5,1.011988545864106,250.3532892707523,120.58036181137956
2022-06-01,0.9326303975081,2022,6,1.009326303975081,252.68816014765272,121.70493091905774
2022-07-01,1.3747564612604,2022,7,1.013747564612604,256.1620069561226,123.37807732053999
2022-08-01,1.2109226386338,2022,8,1.012109226386338,259.263930689933,124.87209038992553
2022-09-01,0.8645207700097,2022,9,1.008645207700097,261.50532121989096,125.9516355472917
2022-10-01,0.5170615152872,2022,10,1.005170615152872,262.85746459634726,126.60288298258155
2022-11-01,0.975245057993,2022,11,1.00975245057993,265.4209690293888,127.83757134214584
2022-12-01,0.2836345868657,2022,12,1.002836345868657,266.17379469835026,128.2001629094813
